rawquery,intentlabel
raw_query,intent_label
"""i need to undrestand how black holes form because i keep reading different things and the science words are too hard for me so explain it in simple way like i am beginner""",general_qa
"""why my phone battery drain so fast even when i dont use much apps and i wanna know what is the main reason for it because this is happening all the time""",general_qa
"""can u explain cloud computing in short but in simple words because i dont understand all this tech stuff and every explanation i read feels too complicated""",general_qa
"""how wifi work in simple way i know internet is there but i dont understand how it actually reaches my phone and what is going on behind it""",general_qa
"""ai vs ml explain easy because both sound same to me and i dont know the difference and i keep mixing both every time""",general_qa
"""what happen if i dont sleep enough for many days like what problem can come and how bad it can get if i keep doing that""",general_qa
"""how does photosynthesis happen i have forgotten this from school and need simple explanation with basic idea only""",general_qa
"""what is recursion i dont get it at all even after reading some examples and i need someone to explain it like very basic""",general_qa
"""how to improve focus while studying because i keep getting distracted every few minutes and i dont know how to stay on one thing""",general_qa
"""why laptop gets hot so much even when i only open few tabs and do simple work and i want to know what may be causing it""",general_qa
"""what is difference between sql and nosql tell me in simple way because i keep seeing both and not sure when to use which one""",general_qa
"""how black hole seen if light cant escape and why scientists still talk about it like how can we even know it is there""",general_qa
"""what is machine learning simple explain like i am beginner because i tried reading but it feels too hard for me""",general_qa
"""why sky look blue in day but night its dark and what is the actual reason for this""",general_qa
"""how internet works in short i want basic idea not too deep because all this network stuff confuses me""",general_qa
"""i keep hearing people talk about quantum computers like they will change everything but when i try reading about qubits superposition and all that stuff i get totally lost can u explain what this actually is in very simple words and why normal computers are not enough""",general_qa
"""my phone storage keeps getting full even when i delete photos and some apps and then after few days same problem again so i dont undrestand where all the space is going can u explain what usually causes this""",general_qa
"""i was using maps yesterday and it showed exact location even when i had just turned internet back on and now im confused how gps internet and location all work together can u explain in simple way becuase this stuff confuses me""",general_qa
"""everyone says cookies on websites track users and every site keeps asking accept cookies but i honestly never understood what actually gets stored and what happens if i reject them can u explain properly in easy words""",general_qa
"""my laptop fan starts making noise even when im only using browser youtube and few tabs nothing heavy so i dont get why it heats this much and what exactly inside is working hard""",general_qa
"""i always hear people say ram and storage are different but in practical use i still mix them both becuase both seem like memory only can u explain the actual difference in simple normal person language""",general_qa
"""how do online food apps show driver moving live on map like is that exact real time or estimated and how does that whole tracking thing actually work behind scenes""",general_qa
"""i read that black holes bend space and even light cant escape but then somehow scientists still know about them and even took image or somthing so how does that make sense""",general_qa
"""why does internet become super slow when many people at home use it at same time like if im paying for speed shouldnt i always get same speed this part i dont undrestand""",general_qa
"""people keep saying ai is dangerous and others say its just advanced prediction machine so what actually is ai in practical sense and why are opinions so different everywhere""",general_qa
"""my bluetooth earbuds sometimes connect instantly and sometimes keep failing again and again even though phone is same so i wanna undrestand what bluetooth actually does and why it behaves weird""",general_qa
"""how do banks verify online payment so quickly when i buy somthing like money gets deducted almost instantly so is there actual human approval or all systems talking automatically""",general_qa
"""i know clouds have water but how exactly does water go up from earth and become rain later i forgot all this after school and every explanation uses science terms i dont remember""",general_qa
"""why do some people say incognito mode makes you private online but others say it does almost nothing now im confused what it actually hides and what it does not hide""",general_qa
"""what exactly is api becuase developers around me keep saying just call the api just connect api and i nod like i understand but honestly i dont have clear picture of what it even is""",general_qa
"""how does netflix or youtube somehow know what i might like next even when i didnt search exact thing it feels creepy accurate sometimes can u explain simple how recommendation works""",general_qa
"""why do airplanes stay in air when they are so insanely heavy i know people say lift and pressure but i never fully got the actual logic in a simple understandable way""",general_qa
"""my charger says fast charging and old one doesnt and both look similar with cable and plug so what exactly makes one charge phone much faster than another""",general_qa
"""how does face unlock work on phones like how does it know its me not just a photo or random person with similar face and how secure is that actually""",general_qa
"""i keep seeing terms frontend backend fullstack while reading tech jobs and i kinda guess meanings but can u explain clearly what each one actually does in real projects""",general_qa
"""what is dns exactly becuase one time my wifi was broken and someone told me change dns settings and weirdly it worked but i had no clue what i actually changed""",general_qa
"""why do stars twinkle so much in sky but planets usually look more stable i remember hearing this once but forgot actual reason and now im curious again""",general_qa
"""how do qr codes store actual information in those black square patterns like how can scanner instantly read payment details or website links from that""",general_qa
"""what exactly is open source software becuase if code is public then how do companies make money and why would they allow everyone to see their code""",general_qa
"""why do i sometimes feel super sleepy after eating heavy lunch like body just wants shutdown mode is there actual biological reason for that or just laziness""",general_qa
"""how does cloud storage actually work when people say your files are in cloud like obviously not floating in sky so where is the actual data stored""",general_qa
"""why do some websites ask permission for notifications camera mic location and all kinds of access even when the site seems super simple is that normal or shady""",general_qa
"""how does google search decide which website should come first becuase millions of pages exist and somehow results look sorted in useful order most of the time""",general_qa
"""i always wondered why moon can be visible in daytime too becuase i used to think moon is only night thing so whats actual reason behind seeing it during day""",general_qa
"""what does operating system actually do inside laptop apart from showing desktop and opening apps becuase clearly theres more happening but i dont know what""",general_qa
"""how does voice assistant understand me even when i speak casually or with weird wording sometimes like is it matching words or actually understanding intent somehow""",general_qa
"""why do some apps completely kill phone battery in background even when i didnt open them much i want to undrestand what background processes actually keep running""",general_qa
"""what is virtual machine exactly becuase someone said its like running another computer inside your computer and that sounds weird and confusing to me""",general_qa
"""why does fever happen when body gets sick like making body hotter feels like it should make things worse so why does body intentionally do that""",general_qa
"""how does two factor authentication really improve security if hacker already knows password cant they just login anyway somehow im missing the actual logic""",general_qa
"""what is cache becuase browser troubleshooting always says clear cache and cookies and i just click it without really knowing what data gets removed""",general_qa
"""why do microwaves heat food so fast compared to normal stove i know radiation word gets mentioned but what actually happens to the food""",general_qa
"""how does cryptocurrency get value if its not physical and not like normal government money i hear bitcoin price everywhere but still dont get why people value it""",general_qa
"""why do earthquakes happen suddenly like is earth literally cracking under pressure or moving plates or somthing explain in simple way not textbook style""",general_qa
"""how does touch screen know exact place where my finger touched without physical buttons like what is detecting the contact so accurately""",general_qa
"""why does browser memory usage become crazy high when i only have multiple tabs open doing normal browsing not gaming or heavy editing""",general_qa
"""how do satellites not just fall back to earth if gravity is always pulling everything down this thing never fully clicked for me""",general_qa
"""why do some coding languages run faster than others if in the end computer only understands machine instructions anyway what causes speed difference""",general_qa
"""how exactly does wifi signal reach my room through walls and still internet works like i know router sends signal but what physically travels""",general_qa
"""what is hashing in passwords becuase people say websites should never store plain password but then how do they verify login correctly later""",general_qa
"""why does my fridge keep making turning on off noises every now and then even when nobody opened it much is that normal cooling behavior or issue""",general_qa
"""how do recommendation ads follow me after i searched one random product once it feels like internet is stalking me can u explain whats happening""",general_qa
"""what exactly is machine learning in practical simple words not textbook definition becuase everyone uses the term differently and i keep getting confused""",general_qa
"""why do some people get motion sickness in cars so badly while others can read books in moving vehicles with no issue at all""",general_qa
"""how does email actually reach another person in seconds across countries like what systems are involved from send button to inbox delivery""",general_qa
"""i always wondered how airplanes can stay in the air for so many hours when they are insanely heavy and people keep saying lift pressure thrust and all that but i never actually undrestood the simple full reasoning behind it""",general_qa
"""my phone keeps saying storage almost full even after i deleted lots of photos apps and random files and after few days same warning comes back so where is all this space even going""",general_qa
"""how do online maps somehow know exactly where i am even when im moving and sometimes internet is weak becuase gps satellites wifi and location all get mixed in my head""",general_qa
"""people always say sleep is important but what actually starts going wrong in body and brain if someone keeps sleeping like 4 hours daily for long time becuase many people do that""",general_qa
"""i keep hearing about inflation in news all the time and people blame it for everything getting expensive but i never fully got what actually causes prices to keep going up like this""",general_qa
"""how do voice assistants understand what im saying even when i dont speak perfectly clearly and sometimes change sentence halfway like are they matching words or actually understanding meaning""",general_qa
"""why do some people remember dreams in crazy detail while others wake up with absolutely nothing in memory becuase i find that really wierd""",general_qa
"""how does internet actually travel from some company building all the way into my room through router and then into phone becuase this still feels like invisible magic honestly""",general_qa
"""what exactly happens inside microwave when food gets hot so quickly becuase i know radiation gets mentioned but i dont actually understand what the food molecules are doing""",general_qa
"""why does body get fever during sickness if high temperature itself feels terrible and dangerous like why would body intentionally make itself hotter""",general_qa
"""how do banks move money so fast during online payments like if i pay for somthing it updates almost instantly so is everything fully automated behind scenes""",general_qa
"""people say private browsing doesnt actually make you private and now im confused what it even does then becuase i thought thats the whole point of using it""",general_qa
"""how do recommendation systems get so scary accurate like i search one random thing and suddenly every app seems to know what i may want next""",general_qa
"""why do stars twinkle in sky but planets often look much steadier becuase as kid i thought everything in sky should look same from earth""",general_qa
"""how does qr code store actual information in random black square patterns and how does scanner read it instantly without confusion""",general_qa
"""what is difference between debit card and credit card in actual practical life becuase both seem like same payment thing from user side""",general_qa
"""how does cloud storage work when people say your files are in cloud becuase obviously they are not floating in sky so where exactly is everything stored""",general_qa
"""why do some apps drain battery insanely fast even when im barely using them and phone says background activity but what does that even mean exactly""",general_qa
"""how does bluetooth send music wirelessly without cable and why does sound sometimes lag or disconnect randomly even when device is nearby""",general_qa
